,career,zip_code,term,interest_rate,issue_time,record_time,history_time,total_accounts,balance_accounts,balance,level,installment,a_time_diff,b_time_diff,issue_time_yearmonth,issue_time_month,issue_time_day,issue_time_weekday,record_time_yearmonth,record_time_month,record_time_day,record_time_weekday,history_time_yearmonth,history_time_month,history_time_day,history_time_weekday,loan_to_limit_ratio,loan_to_installment_ratio,balance_utilization,balance_accounts_ratio,income_loan_ratio,income_installment_ratio,income_ratio,risk_ratio,total_debt,loan_rate_combo,limit_rate_combo,loan_interest_rate_product,loan_interest_rate_ratio,loan_installment_diff,loan_installment_ratio,loan_term_product,loan_balance_product,loan_balance_diff,loan_balance_ratio,loan_balance_limit_diff,interest_rate_installment_product,interest_rate_installment_ratio,interest_rate_term_product,interest_rate_term_diff,interest_rate_term_ratio,interest_rate_balance_product,interest_rate_balance_ratio,interest_rate_balance_limit_product,interest_rate_balance_limit_ratio,installment_term_product,installment_term_ratio,installment_balance_product,installment_balance_diff,installment_balance_ratio,installment_balance_limit_product,installment_balance_limit_diff,installment_balance_limit_ratio,term_balance_product,term_balance_ratio,term_balance_limit_ratio,balance_balance_limit_diff,title_loan_mean,title_loan_deviation,title_interest_rate_mean,title_interest_rate_deviation,title_interest_rate_deviation_std,title_installment_deviation,title_installment_deviation_std,title_term_deviation,title_balance_deviation,title_balance_deviation_std,title_balance_limit_deviation,title_balance_limit_deviation_std,career_loan_mean,career_loan_deviation,career_loan_deviation_std,career_interest_rate_mean,career_interest_rate_deviation,career_interest_rate_deviation_std,career_installment_deviation,career_installment_deviation_std,career_term_deviation,career_balance_deviation,career_balance_deviation_std,career_balance_limit_deviation,career_balance_limit_deviation_std,zip_province_loan_mean,zip_province_loan_deviation,zip_province_interest_rate_mean,zip_province_interest_rate_deviation,zip_province_interest_rate_deviation_std,zip_province_installment_mean,zip_province_installment_deviation,zip_province_installment_deviation_std,zip_province_term_mean,zip_province_term_deviation,zip_province_term_deviation_std,zip_province_balance_mean,zip_province_balance_deviation,zip_province_balance_deviation_std,zip_province_balance_limit_mean,zip_province_balance_limit_deviation,zip_province_balance_limit_deviation_std,risk_score,zip_province,amount_sum,amount_mean,amount_std,amount_count,amount_min,amount_max,direction_sum,direction_mean,income_outcome_ratio,residence_0,residence_1
29106,4.0,601802,12,20.15,1165622400,1107648000,1025654400,6.0,3.0,2409.11,B2,834.3567962333149,57974400,139968000,200612,12,9,5,200502,2,6,6,200207,7,3,2,2.367797947908445,10.773839442716765,0.6338095238095238,0.5,0.15452616375958225,1.6650250602755912,2.8839293710937097,0.026866666666666664,2176200.0,"(999.999, 9000.0]_(17.5, 31.3]","(2788.0, 16400.0]_(17.5, 31.3]",181350.0,425.53191489361706,8165.6432037666855,10.773839442716765,108000,21681990.0,6590.889999999999,3.734269390193808,5200.0,16812.289444101294,0.024121429418971423,241.79999999999998,8.149999999999999,1.5499999999999998,48543.5665,0.008360614245822804,76570.0,0.005301236516706129,10012.281554799778,64.1812920179473,2010057.3013736412,-1574.7532037666851,0.3461903382971378,3170555.8256865963,-2965.643203766685,0.21950981221607863,28909.32,0.004979025853591745,0.0031570639305445935,-1390.8899999999999,9112.063525452251,-112.06352545225127,17.910961821623893,2.2390381783761057,0.12500937697678058,-1.0299464459957335,-0.0012328977626487314,0.0,700.2392511569205,0.409767240518915,1170.5055216659657,0.4451446965606718,11274.377560668137,-2274.3775606681374,-0.20172976720262986,15.446722344784115,4.703277655215883,0.30448386073334427,193.88470793790884,0.30272155724057576,-13.607311692404664,-4600.561178695241,-0.6563162609792456,-12907.737891737892,-0.7725604731997184,9131.360533664289,-131.3605336642886,17.980154359292584,2.1698456407074147,0.12068003407245419,837.4353596003907,-3.0785633670758443,-0.0036761802947332914,12.0,0.0,0.0,1701.6239516754576,707.4860483245425,0.4157710918607696,2623.479793670493,1176.520206329507,0.44845788756140764,9,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
32446,3.0,231399,36,12.9,1117671308,1117671245,337911790,19.0,10.0,27882.0,B0,773.8535368255317,63,779759518,200506,6,2,3,200506,6,2,3,198009,9,16,1,0.6647206728129245,29.683028994392714,0.8058148608421722,0.5263157894736842,0.2920742576409721,8.670025599318707,35.98357454007207,0.020191304347826088,10681200.0,"(11000.0, 33050.0]_(11.45, 17.5]","(16400.0, 6780700.0]_(11.45, 17.5]",296700.0,1654.6762589928057,22226.146463174467,29.683028994392714,828000,641286000.0,-4882.0,0.8248753720905211,-11600.0,9982.71062504936,0.016648307566420262,464.40000000000003,-23.1,0.34864864864864864,359677.8,0.00046264749130294446,446340.0,0.0003728215947515968,27858.72732571914,20.9149604547441,21576584.313769475,-27108.146463174467,0.027753596701414186,26775332.374163397,-33826.14646317447,0.022365062767709942,1003752.0,0.0012911092780547287,0.0010404323574463167,-6718.0,14909.64738018376,8090.35261981624,12.281859945368762,0.6181400546312386,0.050329515023034156,320.7186823064957,0.7077775613772002,-5.4472311894710685,13115.572883039484,0.8882021885968012,2845.2886778305437,0.08960209554303565,11631.587651598677,11368.412348401323,0.9773740858874771,14.969253031973539,-2.0692530319735383,-0.13823355297380052,162.48294920871376,0.26576834492821794,8.315325248070561,20089.717522050716,2.5781557045577976,18233.383019911504,1.1140593711024154,14217.435515873016,8782.564484126984,12.754613095238096,0.14538690476190474,0.011398770286194302,436.8805745512807,336.972962274251,0.7713159657427099,41.095238095238095,-5.095238095238095,-0.12398609501738123,13973.134424603175,13908.865575396825,0.9954005416928368,31860.969515242377,2739.0304847576226,0.08596820895381928,7,23,83240.83,885.540744680851,2037.7708858061608,94.0,0.97,9412.36,88.0,0.9361702127659575,0.0,0,1
43658,4.0,601702,12,17.0,1134777600,1127865600,1036972800,4.0,2.0,1817.78,B1,912.0475207837671,6912000,97804800,200512,12,17,5,200509,9,28,2,200211,11,11,0,2.972651605231867,10.952332460654317,0.5403626634958383,0.5,0.1545065493450655,1.6923763164852264,1.9908930900328203,0.0204,2040000.0,"(9000.0, 11000.0]_(11.45, 17.5]","(2788.0, 16400.0]_(11.45, 17.5]",170000.0,555.5555555555555,9087.952479216234,10.952332460654317,120000,18177800.0,8182.22,5.498191095129703,6637.0,15504.80785332404,0.01861896518311234,204.0,5.0,1.3076923076923077,30902.26,0.009346924861720495,57171.0,0.005053507728894174,10944.570249405206,70.15750159875132,1657901.7423303162,-905.7324792162328,0.501461155710843,3067215.8123958088,-2450.952479216233,0.271119952670561,21813.36,0.006597829314155643,0.0035671819262782403,-1545.22,9112.063525452251,887.9364745477487,17.910961821623893,-0.9109618216238928,-0.05086057525532153,76.66077810445654,0.09176681193022616,0.0,108.90925115692039,0.06373170775534247,733.5055216659657,0.27895305645619456,11274.377560668137,-1274.3775606681374,-0.11303307466958876,15.446722344784115,1.5532776552158847,0.10055710334823095,271.5754324883611,0.4240238371841458,-13.607311692404664,-5191.891178695241,-0.7406754249008359,-13344.737891737892,-0.7987160187817508,9131.360533664289,868.6394663357114,17.980154359292584,-0.9801543592925839,-0.05451312261877308,837.4353596003907,74.61216118337643,0.08909602434148473,12.0,0.0,0.0,1701.6239516754576,116.15604832454233,0.06826187901867063,2623.479793670493,739.5202063295069,0.2818852304918458,8,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
44809,9.0,602306,12,30.5,1153785600,1140307200,1072828800,5.0,3.0,939.54,B1,879.5991218310146,13478400,80956800,200607,7,25,1,200602,2,19,6,200312,12,31,2,8.482563619227145,10.220314530051375,0.8855230914231856,0.6,0.013382957449172318,0.13679323203222102,1.0669327015071632,0.04066666666666666,3294000.0,"(999.999, 9000.0]_(17.5, 31.3]","(101.999, 2788.0]_(17.5, 31.3]",274500.0,285.7142857142857,8120.400878168985,10.220314530051375,108000,8455860.0,8060.46,9.56897101665001,7940.0,26827.773215845944,0.03463551035184077,366.0,18.5,2.3461538461538463,28655.969999999998,0.03242817955642503,32330.0,0.028746465598491987,10555.189461972175,67.66147091007805,826418.5589251114,-59.940878168985364,0.9352065003413088,932375.0691408755,-180.4008781689854,0.8290283900386566,11274.48,0.012758628022200014,0.011310084825636193,-120.46000000000004,9051.112288135593,-51.11228813559319,18.09610699152542,12.40389300847458,0.6854453841527043,49.06060633162599,0.0590708382766893,0.0,-635.7785566737289,-0.4035872960299342,-1387.2825741525426,-0.5668665273085344,10858.280381254965,-1858.2803812549646,-0.171139472919025,16.241163621922162,14.258836378077838,0.8779442600301989,182.91784335117472,0.2625559908116117,-10.150913423351867,-5270.27936457506,-0.8487009130475258,-12034.800079649542,-0.9190518378629291,9131.360533664289,-131.3605336642886,17.980154359292584,12.519845640707416,0.6963146917722013,837.4353596003907,42.16376223062389,0.05034867676323542,12.0,0.0,0.0,1701.6239516754576,-762.0839516754577,-0.4478568551677311,2623.479793670493,-1563.479793670493,-0.5959564839960284,8,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
34725,6.0,401852,36,9.45,1220315369,1220316719,1018917643,9.0,7.0,8347.0,A3,243.27282389406378,-1350,201397726,200809,9,2,1,200809,9,2,1,200204,4,16,1,0.24358193647639498,31.112752859057164,0.2675234768116406,0.7777777777777778,3.006578081831338,93.5552290905307,34.17080896244081,0.04476315789473684,2585520.0,"(999.999, 9000.0]_(5.249, 11.45]","(16400.0, 6780700.0]_(5.249, 11.45]",71820.0,727.2727272727274,7356.727176105936,31.112752859057164,273600,63437200.0,-747.0,0.9103977000479156,-23600.0,2298.9281857989026,0.03868625191027503,340.2,-26.55,0.2554054054054054,78879.15,0.0011320076665069477,294840.0,0.00030287490785551745,8757.821660186295,6.574941186326048,2030598.2610437504,-8103.727176105936,0.029141449915436483,7590112.10549479,-30956.727176105935,0.007796955991604878,300492.0,0.004312410158121706,0.0011538091727829236,-22853.0,13886.444585784704,-6286.444585784704,13.221839720146287,-3.7718397201462874,-0.2852734415165453,-180.42244587311427,-0.42583068244367467,-5.689934806805532,-5742.515503259659,-0.4075736672372523,-590.3071017274488,-0.018568776320357475,11267.917586460633,-3667.917586460633,-0.32551867355401587,15.966685062545988,-6.516685062545989,-0.40814264432587627,-428.7918963466758,-0.6380217312896275,11.788079470198674,1896.5037674760852,0.29400897219562155,17694.551419093255,1.3101787262445197,14798.312710911136,-7198.312710911136,12.576096737907761,-3.126096737907762,-0.2485744824532766,450.90146275856074,-207.62863886449696,-0.4604745293888603,41.37232845894263,-5.372328458942633,-0.12985318107667213,14944.149606299212,-6597.149606299212,-0.4414536644840869,32736.549375709423,-1536.5493757094227,-0.04693681542531618,4,40,30803.25,581.1933962264151,809.4389332526372,53.0,9.62,3758.05,47.0,0.8867924528301887,1.4884560297453557,0,1
47905,10.0,221375,36,9.1,1151799490,1151800506,761359856,18.0,6.0,24871.0,A3,525.4638571884029,-1016,390439634,200607,7,2,6,200607,7,2,6,199402,2,16,2,0.5631207126036654,31.3411828270962,0.848810620797925,0.3333333333333333,0.26840797527422583,8.412733257042975,47.24160958137634,0.01985454545454545,5405400.0,"(11000.0, 33050.0]_(5.249, 11.45]","(16400.0, 6780700.0]_(5.249, 11.45]",150150.0,1633.6633663366338,15974.536142811598,31.3411828270962,594000,410371500.0,-8371.0,0.6633965905435831,-12800.0,4781.7211004144665,0.017285137195550023,327.59999999999997,-26.9,0.24594594594594593,226326.09999999998,0.0003658732711482792,266630.0,0.0003105696051329306,18916.698858782504,14.201725869956835,13068811.59213277,-24345.536142811598,0.021126723109858594,15396091.015620206,-28774.536142811598,0.017933307982266916,895356.0,0.0014474107430041815,0.001228627009317088,-4429.0,14208.43621399177,2291.5637860082297,12.280197922790515,-3.1801979227905157,-0.2589695982740201,96.2635388031427,0.22428580473869614,-5.526161081716637,10805.749363119734,0.7682585715739862,-1983.234946871311,-0.06339609539229119,12135.82902683519,4364.17097316481,0.3596104529418299,15.252801818068614,-6.152801818068614,-0.4033883014712711,-125.21036056084631,-0.19243172258148195,9.100305086856359,16138.629168793974,1.8481383212816525,10888.084559740582,0.5913607736831521,14619.449901768174,1880.5500982318263,12.56630648330059,-3.46630648330059,-0.2758413132694939,445.3692541509338,80.09460303746914,0.1798386446549034,41.23379174852652,-5.233791748526521,-0.12692967409948538,15329.499017681728,9541.500982318272,0.6224274499324915,31180.11811023622,-1880.1181102362207,-0.06029862053726444,4,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
1285,10.0,602101,12,8.85,1190419200,1121126400,1077235200,8.0,4.0,2415.95,B2,786.4373942378035,69292800,113184000,200709,9,22,5,200507,7,12,1,200402,2,20,4,2.4650780608052587,11.429480065156811,0.6617228156669405,0.5,0.1371014331740918,1.5671722082674184,3.0681169292684,0.011799999999999998,955800.0,"(999.999, 9000.0]_(5.249, 11.45]","(2788.0, 16400.0]_(5.249, 11.45]",79650.0,913.7055837563452,8213.562605762196,11.429480065156811,108000,21743550.0,6584.05,3.723701359150996,5350.0,6959.97093900456,0.011238988730737531,106.19999999999999,-3.1500000000000004,0.6807692307692308,21381.157499999998,0.003661639669831813,32302.5,0.0024239934264585045,9437.248730853642,60.49518417213873,1899993.4226088212,-1629.5126057621965,0.3253842215344974,2870496.4889679826,-2863.5626057621967,0.21540328519249616,28991.399999999998,0.004964935145534662,0.003286770747740345,-1234.0500000000002,9112.063525452251,-112.06352545225127,17.910961821623893,-9.060961821623893,-0.5058891818240939,-48.94934844150714,-0.05859483511135618,0.0,707.0792511569202,0.4137698837876528,1020.5055216659657,0.388099511170119,12135.82902683519,-3135.8290268351902,-0.2583942983953655,15.252801818068614,-6.402801818068614,-0.41977873274953287,135.76317648855422,0.20865000146797483,-14.899694913143641,-6316.420831206026,-0.7233340124120298,-14761.915440259418,-0.8017588114695049,9131.360533664289,-131.3605336642886,17.980154359292584,-9.130154359292584,-0.5077906550103612,837.4353596003907,-50.99796536258725,-0.060897793218240244,12.0,0.0,0.0,1701.6239516754576,714.3260483245422,0.41979078140102605,2623.479793670493,1026.520206329507,0.3912819183155626,9,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
28480,3.0,602507,12,28.9,1190332800,1113350400,1033776000,1.0,1.0,770.15,A5,775.5747800921063,76982400,156556800,200709,9,21,4,200504,4,13,2,200210,10,5,5,5.344021376085505,10.301647961128937,0.5144622578490314,1.0,0.0907199100112486,0.93468139657318,0.9917267721579315,0.04334999999999999,2774400.0,"(999.999, 9000.0]_(17.5, 31.3]","(101.999, 2788.0]_(17.5, 31.3]",231200.0,267.55852842809367,7224.425219907894,10.301647961128937,96000,6161200.0,7229.85,10.374116579135059,6504.0,22414.11114466187,0.037214703259578284,346.79999999999995,16.9,2.223076923076923,22257.335,0.0374764961421254,43234.4,0.019305277221108884,9306.897361105275,59.65959846862356,597308.9168879356,5.424780092106289,1.0057378980640683,1160259.8710177909,-720.4252199078937,0.5180860254456288,9241.8,0.015561174868702588,0.008016032064128256,-725.85,9112.063525452251,-1112.0635254522513,17.910961821623893,10.989038178376106,0.6135370220659533,-59.811962587204334,-0.07159793127117536,0.0,-938.7207488430796,-0.5493222641200932,-1133.4944783340343,-0.43106935103821975,11631.587651598677,-3631.5876515986765,-0.3122177092565297,14.969253031973539,13.93074696802646,0.9306240557408654,164.20419247528832,0.2685837294125847,-15.684674751929439,-7022.132477949283,-0.9011650306339148,-14870.616980088496,-0.9085944271916412,9131.360533664289,-1131.3605336642886,17.980154359292584,10.919845640707415,0.6073276915480857,837.4353596003907,-61.860579508284445,-0.07386907992254257,12.0,0.0,0.0,1701.6239516754576,-931.4739516754577,-0.5474029386800222,2623.479793670493,-1127.479793670493,-0.42976500005477214,6,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
32205,6.0,191316,36,11.55,1204418723,1204418187,558835740,17.0,8.0,14972.0,A4,237.59849639047482,536,645582983,200803,3,2,6,200803,3,2,6,198709,9,17,3,0.3809322258081583,30.17621698762488,0.7921274006666313,0.47058823529411764,0.5454797944729899,16.462802823248683,62.74976676926663,0.05775,2993760.0,"(999.999, 9000.0]_(11.45, 17.5]","(16400.0, 6780700.0]_(11.45, 17.5]",83160.0,573.7051792828685,6962.401503609525,30.17621698762488,259200,107798400.0,-7772.0,0.48086555800440794,-11700.0,2744.2626333099843,0.04840768141764825,415.8,-24.45,0.3121621621621622,172926.6,0.0007713884992987378,218295.0,0.0006110787789005873,8553.545870057094,6.421580983526346,3557324.687958189,-14734.401503609524,0.015868462992751943,4490611.5817799745,-18662.401503609526,0.012570683899818783,538992.0,0.0024043277900220395,0.0019046611290407915,-3928.0,14909.64738018376,-7709.64738018376,12.281859945368762,-0.7318599453687611,-0.0595886900375159,-215.5363581285612,-0.4756561010018412,-5.4472311894710685,205.5728830394837,0.013921640042726755,-12854.711322169456,-0.40481272815712793,11267.917586460633,-4067.917586460633,-0.3610176907353834,15.966685062545988,-4.416685062545987,-0.2766187875094042,-434.4662238502648,-0.6464648578705859,11.788079470198674,8521.503767476086,1.3210617385543126,5394.551419093255,0.39943518993658406,15004.768786127168,-7804.768786127168,12.826878612716763,-1.2768786127167626,-0.09954710349023227,452.0104656674547,-214.41196927697987,-0.4743517806835989,42.346820809248555,-6.346820809248555,-0.1498771498771499,15687.966763005781,-715.9667630057811,-0.04563795766664433,31135.89001447178,-12235.89001447178,-0.39298346727151884,5,19,85713.84,1558.4334545454544,3224.121329532319,55.0,2.36,11421.88,49.0,0.8909090909090909,1.0261458016011613,0,0
48164,10.0,101032,60,13.75,1165017780,1240188171,776997471,26.0,12.0,7273.0,B2,255.68423559894924,-75170391,388020309,200612,12,2,5,200904,4,20,0,199408,8,16,1,0.7516495476498197,43.049001331210825,0.4947282497789266,0.46153846153846156,0.6720658763912768,28.934383066688035,28.334424134108264,0.0746606334841629,9116250.0,"(11000.0, 33050.0]_(11.45, 17.5]","(2788.0, 16400.0]_(11.45, 17.5]",151937.5,749.1525423728814,10794.315764401052,43.049001331210825,663000,80366650.0,3777.0,1.5191091558977179,-3650.0,3515.6582394855523,0.053567761837479536,825.0,-46.25,0.22540983606557377,100003.75,0.0018902941985152598,202125.0,0.0009353105230936671,15341.054135936954,4.191544845884414,1859591.4455111579,-7017.315764401051,0.03515043106941837,3758558.263304554,-14444.315764401052,0.017392302265080557,436380.0,0.008248556502612043,0.004081355009863274,-7427.0,14137.877614252517,-3087.8776142525167,12.546214175058095,1.203785824941905,0.09594813289056026,-172.68904778161223,-0.40312749296318146,18.446165762974438,-6462.921378776142,-0.47051240324964516,-14819.75476839237,-0.5020283835237106,12135.82902683519,-1085.8290268351902,-0.08947299969653208,15.252801818068614,-1.5028018180686136,-0.09852627969560192,-394.98998215029997,-0.6070472309731466,33.10030508685636,-1459.3708312060262,-0.16712194882869774,-3711.9154402594177,-0.20160398043882816,13709.09090909091,-2659.09090909091,12.70612648221344,1.04387351778656,0.082155133529311,411.5509567939277,-155.86672119497845,-0.37873006640347634,42.22924901185771,17.77075098814229,0.42081617371770863,13775.388669301712,-6502.388669301712,-0.4720294160405221,28052.17965653897,-13352.17965653897,-0.47597654870382144,9,10,55655.43,704.4991139240507,1186.395854049404,79.0,1.95,5000.42,74.0,0.9367088607594937,0.0,0,1
